as_of_date,target_date,acute_load_7,chronic_load_28,atl_ctl_ratio,days_since_last_hard,streak_length,trained_today,trained_hard_today,trained_days_2,trained_both_days_2,trained_days_7,trained_days_30,moving_time_acute_7,moving_time_chronic_28,today_relative_effort,dow_train_rate,month_train_rate,day_of_week,trained_last_weekend,month,season,days_since_last_long_ride,forecast_temp_high,forecast_temp_low,forecast_precip_probability,forecast_rain_expected,forecast_wind_speed,forecast_temp_high_vs_seasonal,forecast_temp_low_vs_seasonal,forecast_precip_probability_vs_seasonal,forecast_wind_speed_vs_seasonal,forecast_precip_morning,forecast_precip_midday,forecast_precip_evening,will_train_tomorrow,next_day_relative_effort
2025-11-14,2025-11-15,12.369928708702165,15.638261355932764,0.7910040910020554,3,0,0,0,0.0,0,4.0,11.0,1952.3018314097055,2384.697340680471,0.0,0.4745762711864407,0.3409090909090909,5,True,11,3,3,12.9,10.6,41.66666666666667,1,16.6,2.881639344262295,7.198032786885246,8.497267759562845,3.204918032786887,25.0,57.14285714285714,60.0,0,0.0
2025-11-15,2025-11-16,9.277446531526625,14.559760572764986,0.637197739973878,4,0,0,0,0.0,0,3.0,11.0,1464.2263735572792,2220.2354551163003,0.0,0.3050847457627119,0.3333333333333333,6,True,11,3,4,12.4,9.7,41.66666666666667,1,8.7,2.5790163934426236,6.42655737704918,8.45628415300547,-4.673114754098362,25.0,71.42857142857143,80.0,0,0.0
2025-11-16,2025-11-17,6.958084898644969,13.555639153953608,0.5132981794234017,5,0,0,0,0.0,0,2.0,11.0,1098.1697801679593,2067.1157685565554,0.0,0.3389830508474576,0.32608695652173914,0,True,11,3,5,11.6,6.1,79.16666666666666,1,11.5,1.930491803278688,2.965245901639344,46.065573770491795,-1.785573770491803,100.0,100.0,80.0,0,0.0
2025-11-17,2025-11-18,5.218563673983726,12.620767488163704,0.41349020009107357,6,0,0,0,0.0,0,2.0,10.0,823.6273351259695,1924.5560603802412,0.0,0.3898305084745763,0.3191489361702128,1,False,11,3,6,8.9,2.9,8.333333333333332,1,10.6,-0.636065573770491,-0.13540983606557377,-25.204918032786882,-2.8019672131147537,0.0,14.285714285714285,0.0,1,54.0
2025-11-18,2025-11-19,17.413922755487796,15.474507661393792,1.125329680047431,0,1,1,1,1.0,0,2.0,11.0,3238.7205013444773,2514.8625389747076,54.0,0.559322033898305,0.3333333333333333,2,False,11,3,0,12.1,1.0,0.0,0,21.1,2.705901639344262,-1.9534426229508197,-33.756830601092894,7.635409836065573,0.0,0.0,0.0,0,0.0
2025-11-19,2025-11-20,13.060442066615847,14.407300236470082,0.906515575593764,1,0,0,0,1.0,0,1.0,11.0,2429.040376008358,2341.4237431833485,0.0,0.4166666666666667,0.32653061224489793,3,False,11,3,1,12.1,5.2,29.166666666666668,1,16.6,2.84,2.3537704918032785,-4.8224043715847,3.131803278688526,100.0,28.57142857142857,0.0,0,0.0
2025-11-20,2025-11-21,9.795331549961885,13.413693323610076,0.7302486581171986,2,0,0,0,0.0,0,1.0,10.0,1821.7802820062686,2179.9462436534623,0.0,0.48333333333333334,0.32,4,False,11,3,2,10.3,2.8,0.0,0,12.1,1.1695081967213117,0.07114754098360665,-33.9344262295082,-1.3550819672131151,0.0,0.0,0.0,1,50.0
2025-11-21,2025-11-22,19.84649866247141,15.936886887499035,1.245318411467116,0,1,1,1,1.0,0,2.0,10.0,3738.5852115047014,2684.0189165049474,50.0,0.4666666666666667,0.3333333333333333,5,False,11,3,0,10.3,8.5,25.0,1,13.5,1.2593442622950821,5.880983606557377,-8.688524590163937,-0.023278688524591473,0.0,57.14285714285714,40.0,0,0.0
2025-11-22,2025-11-23,14.884873996853559,14.83779124008531,1.0031731647929547,1,0,0,0,1.0,0,2.0,10.0,2803.938908628526,2498.914163642537,0.0,0.3,0.3269230769230769,6,False,11,3,1,10.1,6.5,37.5,1,12.5,1.1803278688524586,3.9760655737704917,3.360655737704917,-1.0855737704918038,100.0,57.14285714285714,0.0,0,0.0
2025-11-23,2025-11-24,11.16365549764017,13.814495292493218,0.8081117160832135,2,0,0,0,0.0,0,2.0,10.0,2102.9541814713943,2326.5752558051204,0.0,0.3333333333333333,0.32075471698113206,0,False,11,3,2,8.1,3.9,54.166666666666664,1,14.6,-0.7009836065573776,1.4921311475409835,20.232240437158467,1.042295081967211,25.0,42.857142857142854,60.0,1,37.0
